ticker,max_pos_lag,max_pos_corr,max_neg_lag,max_neg_corr,avg_abs_corr
TMUS,0,0.3183,1,-0.1167,0.0829
ADBE,0,0.3506,1,-0.1427,0.0766
CMCSA,0,0.2864,1,-0.1152,0.076
DIS,0,0.355,-1,-0.1178,0.0681
V,0,0.3093,-1,-0.1053,0.0671
O,0,0.1914,-1,-0.105,0.0669
INTC,0,0.2886,1,-0.1201,0.0645
QCOM,0,0.3303,1,-0.1063,0.0636
DUK,0,0.18,1,-0.0767,0.0626
SBUX,0,0.2977,1,-0.0808,0.0617
GS,0,0.2986,1,-0.0663,0.0607
KO,0,0.1963,-1,-0.1153,0.0605
MS,0,0.299,-1,-0.0616,0.0582
WMT,0,0.2268,1,-0.0749,0.0571
NVDA,0,0.3647,1,-0.0497,0.0569
UPS,0,0.1809,3,-0.0631,0.0568
BA,0,0.2578,-1,-0.0538,0.0568
AMGN,0,0.1555,1,-0.1134,0.0568
NUE,0,0.2724,1,-0.0217,0.0561
PLD,0,0.2491,1,-0.0613,0.056
DOW,0,0.2767,5,-0.0587,0.0557
EA,0,0.2321,-1,-0.0522,0.0555
COP,0,0.2193,-1,-0.0652,0.0553
SO,0,0.1721,1,-0.0561,0.0552
AMT,0,0.2207,1,-0.1008,0.0551
CVX,0,0.2181,-1,-0.1047,0.054
GILD,0,0.1227,-4,-0.0785,0.0537
AMD,0,0.3308,1,-0.0549,0.0534
TTWO,0,0.2621,-1,-0.0511,0.0528
AEP,0,0.1511,1,-0.0704,0.0526
USB,0,0.2137,1,-0.0593,0.0518
SHW,0,0.2327,-1,-0.0399,0.0517
NEE,0,0.24,-1,-0.0556,0.0516
PSA,0,0.1841,-1,-0.0721,0.0516
XOM,0,0.2123,-1,-0.0789,0.0512
SLB,0,0.2136,-1,-0.0669,0.0507
CAT,0,0.2564,-1,-0.0656,0.0491
DD,0,0.2727,-1,-0.0914,0.0486
GE,0,0.2338,-1,-0.0427,0.0476
MRK,0,0.1642,3,-0.1017,0.0474
ABBV,0,0.1585,1,-0.071,0.0472
D,0,0.1336,1,-0.0739,0.047
OXY,0,0.151,-4,-0.0448,0.0468
CCI,0,0.1955,-1,-0.0577,0.0457
NEM,0,0.1639,3,-0.043,0.0451
T,0,0.168,-1,-0.063,0.0443
ABT,0,0.2168,1,-0.0561,0.0439
WFC,0,0.2392,-1,-0.0401,0.0424
NKE,0,0.2792,-1,-0.0387,0.0422
MMM,0,0.2241,1,-0.0713,0.0393
