fund,family,method,cagr,ann_vol,sharpe,max_drawdown,calmar,total_return,turnover_avg
equity_equal_weight,equity,equal_weight,0.0597,0.1771,0.3375,-0.2032,0.294,0.1223,0.0
equity_min_variance,equity,min_variance,0.0196,0.1362,0.1436,-0.168,0.1164,0.0393,0.1246
equity_max_sharpe,equity,max_sharpe,-0.0414,0.1833,-0.2261,-0.2574,-0.161,-0.0807,0.3374
equity_risk_parity,equity,risk_parity,0.0313,0.1629,0.192,-0.1925,0.1625,0.0631,0.0219
equity_min_cvar,equity,min_cvar,-0.002,0.1415,-0.0144,-0.1631,-0.0125,-0.0041,0.3992
crypto_equal_weight,crypto,equal_weight,-0.2224,0.5853,-0.3799,-0.6587,-0.3376,-0.3934,0.0
crypto_min_variance,crypto,min_variance,-0.1132,0.5602,-0.2021,-0.6404,-0.1768,-0.2125,0.0929
crypto_max_sharpe,crypto,max_sharpe,-0.2399,0.5777,-0.4153,-0.649,-0.3697,-0.4204,0.2487
crypto_risk_parity,crypto,risk_parity,-0.2087,0.5762,-0.3622,-0.6563,-0.318,-0.3721,0.0132
crypto_min_cvar,crypto,min_cvar,-0.2089,0.5765,-0.3623,-0.6425,-0.3251,-0.3723,0.2116
combined_equal_weight,combined,equal_weight,0.0267,0.2091,0.1276,-0.2694,0.099,0.0537,0.0
combined_min_variance,combined,min_variance,0.0097,0.1383,0.07,-0.1752,0.0552,0.0193,0.1122
combined_max_sharpe,combined,max_sharpe,-0.0608,0.2007,-0.3029,-0.2928,-0.2076,-0.1172,0.3147
combined_risk_parity,combined,risk_parity,0.0238,0.171,0.1389,-0.218,0.109,0.0478,0.0231
combined_min_cvar,combined,min_cvar,-0.0001,0.1416,-0.0006,-0.1631,-0.0005,-0.0002,0.4007
equity_sentiment_tilt,sentiment,max_sharpe,-0.0285,0.1844,-0.1544,-0.244,-0.1166,-0.0558,0.6164
equity_sentiment_momentum,sentiment,equal_weight,-0.0072,0.0761,-0.094,-0.1311,-0.0546,-0.0142,1.6278
